Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
ecoli-0-1_vs_5-5-fold,0.933,0.925,0.929,0.929,0.925,0.900,0.600,0.600,0.600,0.600,0.600,0.550,0.660,0.650,0.655,0.655,0.650,0.635,0.566,0.555,0.560,0.560,0.555,0.509,0.659,0.654,0.657,0.657,0.654,0.616
glass-0-1-4-6_vs_2-5-fold,0.434,0.434,0.434,0.434,0.434,0.688,0.750,0.750,0.750,0.750,0.750,0.617,0.103,0.103,0.103,0.103,0.103,0.137,0.181,0.181,0.181,0.181,0.181,0.223,0.540,0.540,0.540,0.540,0.540,0.555
glass2-5-fold,0.457,0.457,0.457,0.457,0.457,0.676,0.750,0.750,0.750,0.750,0.750,0.633,0.104,0.104,0.104,0.104,0.104,0.188,0.183,0.183,0.183,0.183,0.183,0.280,0.566,0.566,0.566,0.566,0.566,0.632
ecoli-0-1-4-7_vs_5-6-5-fold,0.952,0.952,0.952,0.952,0.952,0.955,0.480,0.480,0.480,0.480,0.480,0.480,0.700,0.700,0.700,0.700,0.700,0.733,0.546,0.546,0.546,0.546,0.546,0.564,0.605,0.605,0.605,0.605,0.605,0.607
cleveland-0_vs_4-5-fold,0.909,0.848,0.848,0.848,0.870,0.866,0.800,0.800,0.800,0.800,0.800,0.800,0.578,0.553,0.553,0.553,0.558,0.686,0.591,0.559,0.559,0.559,0.566,0.653,0.841,0.806,0.806,0.806,0.820,0.816
ecoli-0-1-4-6_vs_5-5-fold,0.943,0.936,0.939,0.939,0.936,0.879,0.800,0.800,0.800,0.800,0.800,0.750,0.633,0.623,0.628,0.628,0.623,0.596,0.697,0.687,0.692,0.692,0.687,0.620,0.869,0.866,0.867,0.867,0.866,0.803
shuttle-c0-vs-c4-5-fold,0.997,0.997,0.997,0.997,0.997,0.998,0.984,0.984,0.984,0.984,0.984,0.975,0.977,0.977,0.977,0.977,0.977,1.000,0.980,0.980,0.980,0.980,0.980,0.987,0.991,0.991,0.991,0.991,0.991,0.988
yeast-1_vs_7-5-fold,0.259,0.237,0.251,0.264,0.307,0.144,1.000,1.000,1.000,1.000,1.000,1.000,0.081,0.079,0.080,0.082,0.087,0.071,0.150,0.147,0.149,0.151,0.159,0.133,0.453,0.427,0.443,0.459,0.507,0.284
glass4-5-fold,0.897,0.897,0.897,0.897,0.897,0.925,0.233,0.233,0.233,0.233,0.233,0.300,0.267,0.267,0.267,0.267,0.267,0.533,0.247,0.247,0.247,0.247,0.247,0.367,0.366,0.366,0.366,0.366,0.366,0.418
ecoli4-5-fold,0.815,0.786,0.804,0.815,0.851,0.702,0.950,0.950,0.950,0.950,0.950,0.900,0.304,0.275,0.301,0.304,0.336,0.204,0.447,0.413,0.443,0.447,0.486,0.319,0.875,0.857,0.867,0.875,0.896,0.779
page-blocks-1-3_vs_4-5-fold,0.930,0.937,0.937,0.937,0.937,0.930,0.573,0.573,0.573,0.573,0.573,1.000,0.427,0.474,0.474,0.474,0.474,0.469,0.487,0.515,0.515,0.515,0.515,0.636,0.730,0.732,0.732,0.732,0.732,0.962
abalone9-18-5-fold,0.836,0.836,0.836,0.836,0.836,0.836,0.550,0.550,0.550,0.550,0.550,0.550,0.194,0.194,0.194,0.194,0.194,0.192,0.286,0.286,0.286,0.286,0.286,0.284,0.679,0.679,0.679,0.679,0.679,0.679
dermatology-6-5-fold,0.911,0.900,0.900,0.900,0.900,0.894,0.900,0.900,0.900,0.900,0.900,0.900,0.405,0.381,0.381,0.381,0.381,0.340,0.550,0.525,0.525,0.525,0.525,0.492,0.904,0.898,0.898,0.898,0.898,0.895
glass-0-1-6_vs_5-5-fold,0.978,0.978,0.978,0.978,0.978,0.978,0.900,0.900,0.900,0.900,0.900,0.900,0.800,0.800,0.800,0.800,0.800,0.800,0.813,0.813,0.813,0.813,0.813,0.813,0.933,0.933,0.933,0.933,0.933,0.933
shuttle-c2-vs-c4-5-fold,0.992,0.977,0.985,0.977,0.977,0.969,1.000,1.000,1.000,1.000,1.000,1.000,0.900,0.850,0.867,0.850,0.850,0.767,0.933,0.880,0.900,0.880,0.880,0.833,0.996,0.988,0.992,0.988,0.988,0.983
shuttle-6_vs_2-3-5-fold,0.996,0.996,0.996,0.996,0.996,0.991,1.000,1.000,1.000,1.000,1.000,0.900,0.933,0.933,0.933,0.933,0.933,0.900,0.960,0.960,0.960,0.960,0.960,0.900,0.998,0.998,0.998,0.998,0.998,0.940
yeast-1-4-5-8_vs_7-5-fold,0.133,0.130,0.131,0.131,0.152,0.075,1.000,1.000,1.000,1.000,1.000,1.000,0.048,0.048,0.048,0.048,0.049,0.045,0.091,0.091,0.091,0.091,0.093,0.086,0.290,0.285,0.287,0.287,0.325,0.177
