Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
page-blocks-1-3_vs_4-5-fold,0.955,0.989,0.994,0.996,0.970,0.994,0.640,0.813,0.920,0.920,0.673,0.927,0.688,1.000,0.960,1.000,0.831,0.971,0.647,0.878,0.938,0.956,0.722,0.944,0.783,0.892,0.957,0.958,0.810,0.960
abalone9-18-5-fold,0.949,0.949,0.944,0.944,0.947,0.944,0.136,0.136,0.044,0.044,0.114,0.044,0.800,0.600,0.200,0.200,0.600,0.200,0.224,0.217,0.073,0.073,0.184,0.073,0.320,0.280,0.094,0.094,0.253,0.094
dermatology-6-5-fold,0.983,1.000,1.000,1.000,1.000,1.000,0.950,1.000,1.000,1.000,1.000,1.000,0.803,1.000,1.000,1.000,1.000,1.000,0.866,1.000,1.000,1.000,1.000,1.000,0.966,1.000,1.000,1.000,1.000,1.000
glass-0-1-6_vs_5-5-fold,0.951,0.978,0.962,0.973,0.973,0.978,0.500,0.700,0.700,0.700,0.700,0.900,0.567,0.700,0.600,0.700,0.700,0.800,0.513,0.700,0.633,0.700,0.700,0.813,0.618,0.739,0.734,0.739,0.739,0.933
shuttle-c2-vs-c4-5-fold,0.961,0.992,0.954,0.992,1.000,0.961,0.200,0.900,0.000,0.900,1.000,0.200,0.200,1.000,0.000,1.000,1.000,0.200,0.200,0.933,0.000,0.933,1.000,0.200,0.200,0.941,0.000,0.941,1.000,0.200
shuttle-6_vs_2-3-5-fold,1.000,0.987,0.987,0.983,1.000,0.970,1.000,0.700,0.700,0.600,1.000,0.300,1.000,1.000,1.000,1.000,1.000,0.600,1.000,0.800,0.800,0.733,1.000,0.400,1.000,0.824,0.824,0.766,1.000,0.424
yeast-1-4-5-8_vs_7-5-fold,0.955,0.955,0.952,0.954,0.954,0.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
glass5-5-fold,0.963,0.981,0.963,0.972,0.981,0.981,0.400,0.600,0.400,0.600,0.600,0.900,0.467,0.800,0.467,0.500,0.800,0.800,0.413,0.667,0.413,0.533,0.667,0.833,0.479,0.683,0.479,0.595,0.683,0.935
yeast-2_vs_8-5-fold,0.979,0.979,0.979,0.979,0.959,0.979,0.550,0.550,0.550,0.550,0.000,0.550,0.950,0.950,0.950,0.950,0.000,0.950,0.668,0.668,0.668,0.668,0.000,0.668,0.728,0.728,0.728,0.728,0.000,0.728
yeast4-5-fold,0.965,0.969,0.966,0.966,0.967,0.966,0.155,0.196,0.195,0.176,0.118,0.098,0.467,0.547,0.487,0.457,0.567,0.500,0.215,0.286,0.273,0.250,0.188,0.157,0.345,0.390,0.391,0.372,0.302,0.239
winequality-red-4-5-fold,0.966,0.965,0.966,0.966,0.965,0.966,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000
poker-9_vs_7-5-fold,0.967,0.967,0.984,0.967,0.975,0.988,0.000,0.000,0.600,0.000,0.300,0.700,0.000,0.000,0.800,0.000,0.400,0.800,0.000,0.000,0.667,0.000,0.333,0.733,0.000,0.000,0.683,0.000,0.341,0.741
yeast-1-2-8-9_vs_7-5-fold,0.967,0.967,0.968,0.966,0.967,0.969,0.000,0.033,0.033,0.033,0.033,0.067,0.000,0.200,0.200,0.200,0.100,0.200,0.000,0.057,0.057,0.057,0.050,0.100,0.000,0.082,0.082,0.082,0.081,0.115
abalone-3_vs_11-5-fold,0.994,1.000,0.994,0.994,1.000,0.996,0.800,1.000,0.800,0.800,1.000,0.867,1.000,1.000,1.000,1.000,1.000,1.000,0.880,1.000,0.880,0.880,1.000,0.920,0.890,1.000,0.890,0.890,1.000,0.927
winequality-white-9_vs_4-5-fold,0.970,0.982,0.982,0.970,0.982,0.994,0.000,0.400,0.400,0.000,0.400,0.800,0.000,0.400,0.400,0.000,0.400,0.800,0.000,0.400,0.400,0.000,0.400,0.800,0.000,0.400,0.400,0.000,0.400,0.800
yeast5-5-fold,0.985,0.982,0.985,0.984,0.980,0.976,0.706,0.636,0.731,0.708,0.522,0.500,0.798,0.726,0.778,0.756,0.774,0.655,0.742,0.674,0.750,0.730,0.616,0.559,0.835,0.791,0.849,0.836,0.720,0.699
winequality-red-8_vs_6-5-fold,0.970,0.973,0.971,0.971,0.973,0.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-3-7_vs_2-6-5-fold,0.993,0.982,0.986,0.986,0.982,0.982,0.700,0.700,0.700,0.700,0.700,0.700,0.800,0.533,0.633,0.633,0.533,0.533,0.733,0.593,0.660,0.660,0.593,0.593,0.741,0.736,0.738,0.738,0.736,0.736
abalone-17_vs_7-8-9-10-5-fold,0.976,0.976,0.976,0.976,0.976,0.976,0.070,0.086,0.035,0.052,0.085,0.052,0.400,0.800,0.400,0.500,0.700,0.333,0.119,0.154,0.064,0.093,0.150,0.087,0.202,0.294,0.118,0.176,0.257,0.142
abalone-21_vs_8-5-fold,0.978,0.985,0.978,0.978,0.985,0.981,0.067,0.367,0.067,0.067,0.367,0.233,0.200,0.800,0.200,0.200,0.800,0.400,0.100,0.493,0.100,0.100,0.493,0.293,0.115,0.536,0.115,0.115,0.536,0.305
yeast6-5-fold,0.980,0.981,0.980,0.980,0.981,0.980,0.486,0.457,0.486,0.514,0.457,0.400,0.600,0.656,0.587,0.591,0.617,0.650,0.528,0.529,0.527,0.544,0.524,0.494,0.680,0.667,0.680,0.704,0.656,0.625
winequality-white-3_vs_7-5-fold,0.979,0.978,0.978,0.978,0.978,0.978,0.050,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
winequality-red-8_vs_6-7-5-fold,0.978,0.978,0.979,0.978,0.979,0.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
