Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
yeast5-5-fold,0.982,0.981,0.982,0.982,0.982,0.982,0.697,0.697,0.697,0.697,0.697,0.697,0.698,0.672,0.682,0.698,0.688,0.698,0.689,0.674,0.681,0.689,0.682,0.689,0.823,0.823,0.823,0.823,0.823,0.823
winequality-red-8_vs_6-5-fold,0.956,0.954,0.956,0.956,0.954,0.954,0.167,0.167,0.167,0.167,0.167,0.167,0.269,0.269,0.269,0.269,0.269,0.269,0.164,0.164,0.164,0.164,0.164,0.164,0.311,0.311,0.311,0.311,0.311,0.311
ecoli-0-1-3-7_vs_2-6-5-fold,0.965,0.965,0.965,0.965,0.965,0.968,0.700,0.700,0.700,0.700,0.700,0.700,0.333,0.333,0.333,0.333,0.333,0.347,0.433,0.433,0.433,0.433,0.433,0.448,0.727,0.727,0.727,0.727,0.727,0.729
abalone-17_vs_7-8-9-10-5-fold,0.964,0.964,0.964,0.964,0.964,0.964,0.327,0.327,0.327,0.327,0.327,0.327,0.305,0.308,0.308,0.308,0.308,0.305,0.314,0.316,0.316,0.316,0.316,0.314,0.564,0.564,0.564,0.564,0.564,0.564
abalone-21_vs_8-5-fold,0.978,0.978,0.978,0.978,0.978,0.978,0.667,0.667,0.667,0.667,0.667,0.667,0.547,0.547,0.547,0.547,0.547,0.547,0.581,0.581,0.581,0.581,0.581,0.581,0.800,0.800,0.800,0.800,0.800,0.800
yeast6-5-fold,0.966,0.964,0.964,0.965,0.964,0.965,0.457,0.457,0.429,0.457,0.457,0.486,0.370,0.360,0.346,0.362,0.362,0.376,0.401,0.395,0.377,0.397,0.395,0.415,0.662,0.661,0.638,0.661,0.661,0.681
winequality-white-3_vs_7-5-fold,0.977,0.977,0.977,0.977,0.977,0.977,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.394,0.394,0.394,0.394,0.394,0.394,0.562,0.562,0.562,0.562,0.562,0.562
winequality-red-8_vs_6-7-5-fold,0.958,0.958,0.958,0.958,0.958,0.958,0.100,0.100,0.100,0.100,0.100,0.100,0.233,0.233,0.233,0.233,0.233,0.233,0.120,0.120,0.120,0.120,0.120,0.120,0.198,0.198,0.198,0.198,0.198,0.198
abalone-19_vs_10-11-12-13-5-fold,0.956,0.956,0.956,0.956,0.956,0.956,0.095,0.062,0.062,0.062,0.095,0.062,0.060,0.032,0.032,0.033,0.060,0.032,0.072,0.042,0.042,0.042,0.072,0.043,0.235,0.154,0.154,0.154,0.235,0.154
winequality-white-3-9_vs_5-5-fold,0.976,0.975,0.975,0.975,0.976,0.974,0.280,0.280,0.280,0.280,0.280,0.280,0.289,0.279,0.279,0.279,0.282,0.249,0.279,0.273,0.273,0.273,0.275,0.260,0.457,0.457,0.457,0.457,0.457,0.457
poker-8-9_vs_6-5-fold,0.971,0.972,0.971,0.971,0.971,0.971,0.280,0.280,0.280,0.280,0.280,0.280,0.217,0.250,0.217,0.217,0.217,0.217,0.240,0.263,0.240,0.240,0.240,0.240,0.392,0.393,0.392,0.392,0.392,0.392
shuttle-2_vs_5-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
winequality-red-3_vs_5-5-fold,0.970,0.970,0.970,0.970,0.970,0.971,0.100,0.100,0.100,0.100,0.100,0.100,0.050,0.050,0.050,0.050,0.050,0.067,0.067,0.067,0.067,0.067,0.067,0.080,0.140,0.140,0.140,0.140,0.140,0.140
abalone-20_vs_8-9-10-5-fold,0.978,0.978,0.978,0.978,0.978,0.977,0.273,0.273,0.273,0.273,0.273,0.273,0.180,0.180,0.180,0.180,0.180,0.187,0.213,0.213,0.213,0.213,0.213,0.216,0.384,0.384,0.384,0.384,0.384,0.384
poker-8-9_vs_5-5-fold,0.979,0.979,0.978,0.979,0.978,0.979,0.160,0.160,0.160,0.160,0.160,0.160,0.159,0.152,0.152,0.162,0.159,0.152,0.158,0.154,0.154,0.159,0.158,0.154,0.356,0.356,0.356,0.356,0.356,0.356
poker-8_vs_6-5-fold,0.986,0.985,0.985,0.986,0.985,0.986,0.267,0.267,0.267,0.267,0.267,0.267,0.250,0.250,0.250,0.250,0.250,0.250,0.257,0.257,0.257,0.257,0.257,0.257,0.315,0.315,0.315,0.315,0.315,0.315
abalone19-5-fold,0.983,0.983,0.982,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,10.617,15.033,7.950,10.450,11.700,26.250,10.200,12.950,11.450,12.200,14.950,20.250,9.750,15.833,7.333,9.917,12.500,26.667,9.533,14.867,8.867,10.700,11.783,26.250,9.900,16.067,9.067,9.567,12.150,25.250
