Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
ecoli-0-3-4-6_vs_5-5-fold,0.663,0.756,0.698,0.863,0.659,0.434,0.450,0.450,0.400,0.300,0.600,0.800,0.176,0.219,0.101,0.270,0.266,0.295,0.188,0.242,0.151,0.267,0.307,0.249,0.386,0.488,0.316,0.458,0.550,0.480
ecoli-0-3-4-7_vs_5-6-5-fold,0.833,0.699,0.657,0.598,0.702,0.428,0.360,0.440,0.440,0.600,0.400,0.920,0.180,0.129,0.117,0.149,0.068,0.259,0.232,0.182,0.139,0.193,0.114,0.334,0.407,0.325,0.262,0.414,0.212,0.505
yeast-0-5-6-7-9_vs_4-5-fold,0.566,0.503,0.686,0.803,0.640,0.223,0.496,0.516,0.284,0.285,0.424,0.900,0.119,0.174,0.103,0.167,0.112,0.108,0.176,0.180,0.122,0.186,0.172,0.189,0.494,0.410,0.318,0.400,0.418,0.183
vowel0-5-fold,0.992,0.992,0.992,0.992,0.992,0.982,0.944,0.944,0.944,0.944,0.944,0.933,0.969,0.969,0.969,0.969,0.969,0.879,0.953,0.953,0.953,0.953,0.953,0.905,0.969,0.969,0.969,0.969,0.969,0.959
ecoli-0-6-7_vs_5-5-fold,0.927,0.918,0.905,0.823,0.927,0.768,0.500,0.550,0.600,0.650,0.500,0.650,0.583,0.617,0.620,0.603,0.583,0.601,0.536,0.576,0.589,0.570,0.536,0.514,0.622,0.715,0.746,0.717,0.622,0.631
glass-0-1-6_vs_2-5-fold,0.753,0.753,0.753,0.753,0.753,0.780,0.500,0.500,0.500,0.500,0.500,0.267,0.416,0.416,0.416,0.416,0.416,0.215,0.363,0.363,0.363,0.363,0.363,0.188,0.414,0.414,0.414,0.414,0.414,0.319
ecoli-0-1-4-7_vs_2-3-5-6-5-fold,0.629,0.709,0.470,0.526,0.645,0.764,0.793,0.600,0.833,0.820,0.833,0.500,0.400,0.171,0.299,0.250,0.279,0.708,0.353,0.240,0.273,0.295,0.364,0.419,0.593,0.533,0.486,0.579,0.691,0.474
led7digit-0-2-4-5-6-7-8-9_vs_1-5-fold,0.946,0.955,0.946,0.946,0.955,0.923,0.704,0.589,0.704,0.704,0.589,0.732,0.735,0.668,0.735,0.735,0.668,0.710,0.703,0.619,0.703,0.703,0.619,0.683,0.824,0.680,0.824,0.824,0.680,0.828
ecoli-0-1_vs_5-5-fold,0.779,0.829,0.796,0.713,0.929,0.804,0.650,0.700,0.650,0.750,0.600,0.550,0.607,0.622,0.613,0.600,0.710,0.615,0.506,0.529,0.506,0.501,0.596,0.479,0.676,0.730,0.650,0.661,0.741,0.542
glass-0-1-4-6_vs_2-5-fold,0.698,0.698,0.698,0.698,0.698,0.805,0.417,0.417,0.417,0.417,0.417,0.267,0.186,0.186,0.186,0.186,0.186,0.115,0.208,0.208,0.208,0.208,0.208,0.153,0.272,0.272,0.272,0.272,0.272,0.342
glass2-5-fold,0.749,0.749,0.749,0.749,0.749,0.806,0.600,0.600,0.600,0.600,0.600,0.233,0.398,0.398,0.398,0.398,0.398,0.215,0.415,0.415,0.415,0.415,0.415,0.160,0.540,0.540,0.540,0.540,0.540,0.239
ecoli-0-1-4-7_vs_5-6-5-fold,0.952,0.952,0.952,0.952,0.952,0.964,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.733,0.594,0.594,0.594,0.594,0.594,0.656,0.678,0.678,0.678,0.678,0.678,0.683
cleveland-0_vs_4-5-fold,0.925,0.925,0.925,0.925,0.925,0.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-4-6_vs_5-5-fold,0.871,0.918,0.879,0.964,0.939,0.832,0.650,0.550,0.650,0.650,0.650,0.700,0.624,0.610,0.625,0.810,0.654,0.774,0.591,0.566,0.593,0.699,0.627,0.626,0.742,0.642,0.746,0.783,0.773,0.728
shuttle-c0-vs-c4-5-fold,0.996,0.996,0.996,0.996,0.996,0.999,0.967,0.967,0.967,0.967,0.967,0.992,0.976,0.976,0.976,0.976,0.976,1.000,0.972,0.972,0.972,0.972,0.972,0.996,0.983,0.983,0.983,0.983,0.983,0.996
yeast-1_vs_7-5-fold,0.769,0.560,0.773,0.682,0.613,0.074,0.367,0.467,0.233,0.400,0.367,1.000,0.131,0.052,0.036,0.104,0.054,0.066,0.151,0.093,0.062,0.140,0.089,0.124,0.436,0.367,0.233,0.353,0.306,0.074
glass4-5-fold,0.949,0.949,0.949,0.949,0.949,0.949,0.133,0.133,0.133,0.133,0.133,0.167,0.400,0.400,0.400,0.400,0.400,0.400,0.200,0.200,0.200,0.200,0.200,0.233,0.231,0.231,0.231,0.231,0.231,0.257
ecoli4-5-fold,0.911,0.843,0.860,0.731,0.717,0.767,0.350,0.550,0.250,0.450,0.600,0.700,0.217,0.252,0.228,0.306,0.183,0.345,0.235,0.316,0.128,0.225,0.254,0.379,0.421,0.568,0.255,0.398,0.584,0.697
page-blocks-1-3_vs_4-5-fold,0.992,0.992,0.992,0.992,0.992,0.983,0.927,0.927,0.927,0.927,0.927,0.753,0.938,0.938,0.938,0.938,0.938,0.967,0.926,0.926,0.926,0.926,0.926,0.834,0.959,0.959,0.959,0.959,0.959,0.863
abalone9-18-5-fold,0.952,0.936,0.951,0.951,0.822,0.878,0.478,0.461,0.592,0.481,0.669,0.350,0.559,0.534,0.545,0.577,0.326,0.360,0.511,0.443,0.554,0.505,0.403,0.291,0.608,0.652,0.724,0.658,0.738,0.548
dermatology-6-5-fold,0.944,0.952,0.952,0.952,0.952,0.952,0.000,0.200,0.200,0.200,0.150,0.150,0.000,0.160,0.160,0.160,0.200,0.200,0.000,0.178,0.178,0.178,0.171,0.171,0.000,0.199,0.199,0.199,0.173,0.173
glass-0-1-6_vs_5-5-fold,0.227,0.957,0.227,0.227,0.406,0.227,0.800,0.200,0.800,0.800,0.600,0.900,0.038,0.133,0.038,0.038,0.027,0.138,0.072,0.160,0.072,0.072,0.052,0.172,0.000,0.197,0.000,0.000,0.000,0.139
shuttle-c2-vs-c4-5-fold,0.954,0.954,0.954,0.954,0.954,0.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
shuttle-6_vs_2-3-5-fold,0.957,0.957,0.957,0.957,0.957,0.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yeast-1-4-5-8_vs_7-5-fold,0.631,0.798,0.698,0.662,0.876,0.856,0.367,0.200,0.267,0.400,0.067,0.133,0.032,0.014,0.035,0.045,0.065,0.023,0.057,0.027,0.059,0.077,0.065,0.039,0.292,0.129,0.298,0.242,0.160,0.199
glass5-5-fold,0.042,0.972,0.042,0.042,0.223,0.228,1.000,0.500,1.000,1.000,0.900,1.000,0.042,0.600,0.042,0.042,0.133,0.166,0.080,0.533,0.080,0.080,0.163,0.223,0.000,0.621,0.000,0.000,0.140,0.198
yeast-2_vs_8-5-fold,0.499,0.857,0.626,0.361,0.781,0.744,0.850,0.350,0.550,0.850,0.500,0.450,0.095,0.133,0.058,0.079,0.218,0.147,0.159,0.175,0.097,0.135,0.245,0.149,0.578,0.470,0.450,0.415,0.488,0.440
yeast4-5-fold,0.547,0.432,0.891,0.510,0.516,0.103,0.625,0.602,0.140,0.480,0.596,0.940,0.096,0.041,0.027,0.037,0.104,0.035,0.111,0.061,0.046,0.057,0.097,0.067,0.447,0.186,0.211,0.207,0.358,0.189
winequality-red-4-5-fold,0.945,0.945,0.945,0.945,0.945,0.949,0.113,0.113,0.113,0.113,0.113,0.020,0.130,0.130,0.130,0.130,0.130,0.022,0.119,0.119,0.119,0.119,0.119,0.021,0.292,0.292,0.292,0.292,0.292,0.062
poker-9_vs_7-5-fold,0.980,0.975,0.980,0.984,0.980,0.967,0.400,0.200,0.300,0.600,0.300,0.000,0.600,0.400,0.400,0.800,0.400,0.000,0.467,0.267,0.333,0.667,0.333,0.000,0.483,0.283,0.341,0.683,0.341,0.000
yeast-1-2-8-9_vs_7-5-fold,0.767,0.451,0.792,0.710,0.647,0.577,0.400,0.600,0.267,0.367,0.367,0.333,0.062,0.037,0.034,0.058,0.015,0.012,0.102,0.068,0.059,0.089,0.028,0.023,0.463,0.426,0.379,0.409,0.174,0.105
abalone-3_vs_11-5-fold,0.988,0.988,0.988,0.990,0.998,0.902,0.600,0.600,0.600,0.667,0.933,0.467,1.000,1.000,0.800,1.000,1.000,0.141,0.700,0.720,0.660,0.760,0.960,0.200,0.746,0.758,0.679,0.794,0.963,0.483
