Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
yeast6-5-fold,0.978,0.976,0.972,0.976,0.975,0.976,0.486,0.543,0.457,0.571,0.486,0.457,0.548,0.492,0.422,0.484,0.480,0.482,0.510,0.511,0.437,0.509,0.478,0.464,0.682,0.722,0.660,0.738,0.687,0.661
winequality-white-3_vs_7-5-fold,0.978,0.976,0.980,0.974,0.978,0.978,0.100,0.400,0.200,0.100,0.400,0.200,0.200,0.550,0.467,0.133,0.414,0.467,0.133,0.424,0.270,0.114,0.379,0.270,0.141,0.621,0.341,0.141,0.538,0.341
winequality-red-8_vs_6-7-5-fold,0.978,0.961,0.968,0.972,0.964,0.963,0.000,0.067,0.000,0.000,0.067,0.200,0.000,0.033,0.000,0.000,0.029,0.090,0.000,0.044,0.000,0.000,0.040,0.119,0.000,0.114,0.000,0.000,0.113,0.274
abalone-19_vs_10-11-12-13-5-fold,0.978,0.969,0.974,0.977,0.973,0.970,0.000,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.100,0.000,0.000,0.040,0.000,0.000,0.050,0.000,0.000,0.036,0.000,0.000,0.082,0.000,0.000,0.081
winequality-white-3-9_vs_5-5-fold,0.980,0.982,0.984,0.981,0.981,0.982,0.040,0.240,0.200,0.040,0.160,0.160,0.100,0.400,0.600,0.200,0.529,0.467,0.057,0.292,0.279,0.067,0.224,0.231,0.089,0.422,0.394,0.089,0.357,0.357
poker-8-9_vs_6-5-fold,0.980,0.990,0.991,0.990,0.988,0.988,0.040,0.520,0.560,0.480,0.400,0.520,0.200,0.800,0.833,0.867,0.880,0.760,0.067,0.624,0.667,0.614,0.513,0.610,0.089,0.708,0.745,0.689,0.615,0.708
shuttle-2_vs_5-5-fold,0.998,0.999,1.000,1.000,0.998,1.000,0.898,1.000,1.000,1.000,1.000,1.000,0.948,0.950,1.000,1.000,0.877,1.000,0.915,0.971,1.000,1.000,0.930,1.000,0.945,1.000,1.000,1.000,0.999,1.000
winequality-red-3_vs_5-5-fold,0.983,0.977,0.977,0.983,0.977,0.980,0.000,0.100,0.100,0.100,0.000,0.200,0.000,0.067,0.100,0.100,0.000,0.400,0.000,0.080,0.100,0.100,0.000,0.267,0.000,0.140,0.141,0.141,0.000,0.283
abalone-20_vs_8-9-10-5-fold,0.984,0.980,0.984,0.982,0.982,0.983,0.313,0.313,0.313,0.233,0.347,0.347,0.440,0.263,0.367,0.283,0.358,0.390,0.363,0.283,0.334,0.252,0.340,0.349,0.540,0.539,0.540,0.423,0.581,0.582
poker-8-9_vs_5-5-fold,0.987,0.984,0.986,0.987,0.985,0.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.991,0.991,0.991,0.991,0.994,0.000,0.350,0.200,0.217,0.217,0.500,0.000,0.450,0.400,0.400,0.400,0.733,0.000,0.390,0.251,0.271,0.271,0.576,0.000,0.451,0.273,0.289,0.289,0.625
abalone19-5-fold,0.991,0.990,0.992,0.992,0.989,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,24.367,6.867,21.167,13.533,6.033,10.033,13.933,17.750,7.550,11.133,12.383,19.250,13.000,7.583,17.500,16.500,12.583,14.833,17.533,14.033,16.500,8.200,9.867,15.867,17.533,14.033,11.500,9.200,12.867,16.867
