Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
ecoli-0-1-3-7_vs_2-6-5-fold,0.982,0.982,0.982,0.982,0.982,0.982,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.340,0.340,0.340,0.340,0.340,0.340
abalone-17_vs_7-8-9-10-5-fold,0.976,0.976,0.977,0.976,0.976,0.976,0.126,0.126,0.142,0.126,0.126,0.106,0.493,0.493,0.560,0.493,0.493,0.533,0.188,0.188,0.215,0.188,0.188,0.172,0.263,0.263,0.321,0.263,0.263,0.286
abalone-21_vs_8-5-fold,0.981,0.981,0.981,0.981,0.981,0.981,0.367,0.367,0.367,0.367,0.367,0.367,0.700,0.700,0.700,0.700,0.700,0.700,0.460,0.460,0.460,0.460,0.460,0.460,0.535,0.535,0.535,0.535,0.535,0.535
yeast6-5-fold,0.983,0.983,0.982,0.983,0.982,0.982,0.371,0.371,0.371,0.371,0.371,0.371,0.833,0.833,0.733,0.833,0.810,0.710,0.478,0.478,0.473,0.478,0.467,0.462,0.578,0.578,0.578,0.578,0.577,0.577
winequality-white-3_vs_7-5-fold,0.981,0.981,0.981,0.981,0.981,0.981,0.150,0.150,0.150,0.150,0.150,0.150,0.600,0.600,0.600,0.600,0.600,0.600,0.240,0.240,0.240,0.240,0.240,0.240,0.300,0.300,0.300,0.300,0.300,0.300
winequality-red-8_vs_6-7-5-fold,0.980,0.980,0.980,0.980,0.980,0.980,0.100,0.100,0.100,0.100,0.100,0.100,0.400,0.400,0.400,0.400,0.400,0.400,0.160,0.160,0.160,0.160,0.160,0.160,0.200,0.200,0.200,0.200,0.200,0.200
abalone-19_vs_10-11-12-13-5-fold,0.980,0.980,0.980,0.980,0.980,0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
winequality-white-3-9_vs_5-5-fold,0.984,0.984,0.984,0.984,0.984,0.984,0.040,0.040,0.040,0.040,0.040,0.040,0.200,0.200,0.200,0.200,0.200,0.200,0.067,0.067,0.067,0.067,0.067,0.067,0.089,0.089,0.089,0.089,0.089,0.089
poker-8-9_vs_6-5-fold,0.984,0.984,0.984,0.984,0.984,0.984,0.040,0.040,0.040,0.040,0.040,0.040,0.200,0.200,0.200,0.200,0.200,0.200,0.067,0.067,0.067,0.067,0.067,0.067,0.089,0.089,0.089,0.089,0.089,0.089
shuttle-2_vs_5-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
winequality-red-3_vs_5-5-fold,0.986,0.986,0.986,0.986,0.986,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-20_vs_8-9-10-5-fold,0.986,0.986,0.986,0.986,0.986,0.986,0.040,0.040,0.040,0.040,0.040,0.000,0.200,0.200,0.200,0.200,0.200,0.000,0.067,0.067,0.067,0.067,0.067,0.000,0.089,0.089,0.089,0.089,0.089,0.000
poker-8-9_vs_5-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone19-5-fold,0.992,0.992,0.992,0.992,0.992,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,11.233,14.567,10.733,12.233,13.033,20.200,11.267,13.433,11.433,13.433,13.733,18.700,12.683,12.600,10.850,14.183,10.400,21.283,11.900,13.067,10.900,12.400,12.367,21.367,10.867,14.033,10.867,13.367,12.333,20.533
total wins - low,0.900,3.900,0.567,1.567,0.900,3.167,1.033,3.033,0.533,4.033,0.533,1.833,0.817,1.567,0.817,3.817,0.567,3.417,0.567,2.567,0.567,3.567,0.567,3.167,0.567,3.567,0.567,3.567,0.567,2.167
total wins - medium,1.617,1.617,1.450,1.283,1.700,3.333,1.067,1.067,1.567,1.067,1.567,4.667,1.750,1.750,1.083,1.417,0.833,4.167,1.283,1.283,1.450,0.950,1.200,4.833,1.283,1.283,1.450,0.950,1.200,4.833
total wins - high,8.717,9.050,8.717,9.383,10.433,13.700,9.167,9.333,9.333,8.333,11.633,12.200,10.117,9.283,8.950,8.950,9.000,13.700,10.050,9.217,8.883,7.883,10.600,13.367,9.017,9.183,8.850,8.850,10.567,13.533
