Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
yeast6-5-fold,0.980,0.980,0.980,0.980,0.980,0.980,0.457,0.457,0.457,0.457,0.457,0.457,0.602,0.602,0.602,0.602,0.602,0.602,0.509,0.509,0.509,0.509,0.509,0.509,0.662,0.662,0.662,0.662,0.662,0.662
winequality-white-3_vs_7-5-fold,0.979,0.979,0.979,0.979,0.979,0.979,0.050,0.050,0.050,0.050,0.050,0.050,0.200,0.200,0.200,0.200,0.200,0.200,0.080,0.080,0.080,0.080,0.080,0.080,0.100,0.100,0.100,0.100,0.100,0.100
winequality-red-8_vs_6-7-5-fold,0.979,0.979,0.979,0.979,0.979,0.979,0.100,0.100,0.100,0.100,0.100,0.100,0.400,0.400,0.400,0.400,0.400,0.400,0.160,0.160,0.160,0.160,0.160,0.160,0.200,0.200,0.200,0.200,0.200,0.200
abalone-19_vs_10-11-12-13-5-fold,0.978,0.978,0.978,0.978,0.978,0.978,0.029,0.029,0.029,0.029,0.029,0.029,0.200,0.200,0.200,0.200,0.200,0.200,0.050,0.050,0.050,0.050,0.050,0.050,0.076,0.076,0.076,0.076,0.076,0.076
winequality-white-3-9_vs_5-5-fold,0.984,0.984,0.984,0.984,0.984,0.984,0.120,0.080,0.120,0.120,0.120,0.080,0.500,0.300,0.500,0.500,0.500,0.300,0.190,0.124,0.190,0.190,0.190,0.124,0.268,0.179,0.268,0.268,0.268,0.179
poker-8-9_vs_6-5-fold,0.985,0.985,0.985,0.985,0.985,0.985,0.080,0.080,0.080,0.080,0.080,0.080,0.400,0.400,0.400,0.400,0.400,0.400,0.133,0.133,0.133,0.133,0.133,0.133,0.179,0.179,0.179,0.179,0.179,0.179
shuttle-2_vs_5-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
winequality-red-3_vs_5-5-fold,0.986,0.986,0.986,0.986,0.986,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-20_vs_8-9-10-5-fold,0.985,0.985,0.985,0.985,0.985,0.985,0.160,0.160,0.160,0.160,0.160,0.160,0.233,0.233,0.233,0.233,0.233,0.233,0.189,0.189,0.189,0.189,0.189,0.189,0.252,0.252,0.252,0.252,0.252,0.252
poker-8-9_vs_5-5-fold,0.987,0.987,0.987,0.987,0.987,0.987,0.120,0.120,0.120,0.120,0.120,0.120,0.467,0.467,0.467,0.467,0.467,0.467,0.183,0.183,0.183,0.183,0.183,0.183,0.268,0.268,0.268,0.268,0.268,0.268
poker-8_vs_6-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone19-5-fold,0.992,0.992,0.992,0.992,0.992,0.992,0.033,0.033,0.033,0.033,0.033,0.033,0.200,0.200,0.200,0.200,0.200,0.200,0.057,0.057,0.057,0.057,0.057,0.057,0.082,0.082,0.082,0.082,0.082,0.082
total wins,11.883,12.933,14.050,13.050,11.850,18.233,13.433,13.817,14.100,14.100,13.683,12.867,11.950,13.500,13.117,13.117,12.117,18.200,12.100,13.650,13.267,13.267,12.017,17.700,12.100,13.650,13.267,13.267,12.017,17.700
total wins - low,1.233,3.233,0.900,0.900,1.400,3.333,1.567,2.900,1.233,1.233,2.067,2.000,1.200,3.700,0.867,0.867,1.367,3.000,1.233,3.733,0.900,0.900,1.400,2.833,1.233,3.733,0.900,0.900,1.400,2.833
total wins - medium,1.233,1.033,2.233,2.233,1.233,3.033,1.400,1.200,2.400,2.400,1.400,2.200,1.400,1.200,2.400,2.400,1.400,2.200,1.233,1.033,2.233,2.233,1.233,3.033,1.233,1.033,2.233,2.233,1.233,3.033
total wins - high,9.417,8.667,10.917,9.917,9.217,11.867,10.467,9.717,10.467,10.467,10.217,8.667,9.350,8.600,9.850,9.850,9.350,13.000,9.633,8.883,10.133,10.133,9.383,11.833,9.633,8.883,10.133,10.133,9.383,11.833
