Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
shuttle-c2-vs-c4-5-fold,0.992,0.992,0.985,0.985,1.000,0.992,0.800,1.000,0.900,0.900,1.000,1.000,0.800,0.900,0.900,0.900,1.000,0.900,0.800,0.933,0.867,0.867,1.000,0.933,0.800,0.996,0.937,0.937,1.000,0.996
shuttle-6_vs_2-3-5-fold,1.000,0.996,0.996,0.996,1.000,0.996,1.000,0.900,0.900,0.900,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.933,1.000,0.933,0.933,0.933,1.000,0.960,1.000,0.941,0.941,0.941,1.000,0.998
yeast-1-4-5-8_vs_7-5-fold,0.921,0.937,0.941,0.937,0.932,0.919,0.167,0.200,0.300,0.233,0.200,0.167,0.137,0.317,0.359,0.249,0.199,0.132,0.144,0.218,0.305,0.239,0.195,0.141,0.351,0.387,0.527,0.421,0.387,0.304
glass5-5-fold,0.967,0.981,0.986,0.977,0.981,0.981,0.700,0.800,0.800,0.700,0.800,0.700,0.550,0.800,0.900,0.700,0.833,0.733,0.600,0.767,0.833,0.667,0.793,0.693,0.734,0.879,0.881,0.736,0.879,0.739
yeast-2_vs_8-5-fold,0.971,0.969,0.975,0.973,0.975,0.965,0.550,0.500,0.500,0.600,0.450,0.500,0.700,0.733,0.850,0.760,0.933,0.693,0.605,0.568,0.617,0.644,0.594,0.559,0.726,0.693,0.696,0.752,0.665,0.693
yeast4-5-fold,0.962,0.959,0.960,0.955,0.965,0.958,0.371,0.275,0.289,0.293,0.275,0.255,0.424,0.393,0.407,0.332,0.492,0.365,0.385,0.315,0.332,0.298,0.343,0.287,0.590,0.515,0.512,0.520,0.510,0.489
winequality-red-4-5-fold,0.947,0.953,0.954,0.954,0.952,0.956,0.096,0.115,0.151,0.133,0.078,0.076,0.090,0.176,0.227,0.243,0.120,0.167,0.093,0.138,0.180,0.165,0.090,0.101,0.227,0.255,0.380,0.355,0.211,0.245
poker-9_vs_7-5-fold,0.959,0.971,0.980,0.976,0.976,0.980,0.100,0.300,0.400,0.400,0.400,0.600,0.067,0.300,0.600,0.333,0.333,0.700,0.080,0.300,0.467,0.360,0.360,0.633,0.138,0.340,0.483,0.398,0.398,0.681
yeast-1-2-8-9_vs_7-5-fold,0.957,0.958,0.948,0.955,0.955,0.950,0.200,0.300,0.200,0.200,0.200,0.167,0.356,0.322,0.194,0.270,0.270,0.207,0.243,0.288,0.193,0.223,0.215,0.170,0.438,0.475,0.388,0.438,0.382,0.355
abalone-3_vs_11-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
